Name,Country,QS Global World Ranking,Status,Research Output,Total Students,Academic Faculty Staff,International Students,Overall Score,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,Number of International Students,Number of International Faculty
Massachusetts Institute of Technology (MIT),United States,#1,Private,Very High,"11,342","3,011", 91.9, 100, 100, 100, 100, 99.1, 100,"3,745",1681
Stanford University,United States,#2,Private,Very High,"16,260","4,478", 63.6, 98.4, 100, 100, 100, 98.1, 99.7,"3,665",2166
Harvard University,United States,#3,Private,Very High,"23,583","4,556", 69.9, 97.9, 100, 100, 98.6, 99.1, 85.2,"5,816",1466
California Institute of Technology (Caltech),United States,#4,Private,Very High,"2,237","1,059", 88.2, 97, 97, 82.8, 100, 99.9, 100,692,563
University of Oxford,United Kingdom,#5,Public,Very High,"20,786","6,650", 98.3, 96.7, 100, 100, 100, 81.3, 99.4,"8,259",3137
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,#6,Public,Very High,"18,563","2,619", 97.9, 95, 98.7, 96.6, 80.8, 96.4, 100,"7,247",1968
University of Cambridge,United Kingdom,#7,Public,Very High,"19,876","5,834", 97.4, 94.3, 100, 100, 100, 69.2, 100,"7,595",3019
Imperial College London,United Kingdom,#8,Public,Very High,"17,628","3,955", 100, 93.6, 98.5, 99.8, 99.9, 68.6, 100,"10,218",2170
University of Chicago,United States,#9,Private,Very High,"15,335","2,592", 82.6, 93.1, 99.4, 91.3, 94.4, 86.3, 67.1,"4,381",651
UCL,United Kingdom,#10,Public,Very High,"35,897","6,849", 100, 92.9, 99.4, 98.3, 98.4, 65.4, 99.3,"20,251",3204
National University of Singapore (NUS),Singapore,#11,Public,Very High,"29,080","4,611", 71.4, 91.5, 99.7, 98.4, 90.7, 72.9, 100,"7,273",3123
Princeton University,United States,#12,Private,Very High,"8,247","1,040", 65.6, 91, 99.9, 99, 68.6, 100, 71.6,"1,933",91
"Nanyang Technological University, Singapore (NTU)",Singapore,#13,Public,Very High,"23,951","3,846", 67.6, 89.9, 89.8, 89.8, 91.5, 89, 100,"5,738",2664
EPFL,Switzerland,#14,Public,Very High,"9,668","1,709", 100, 89.6, 80.4, 80, 96.3, 98.5, 100,"5,870",1342
Tsinghua University,China Mainland,#15,Public,Very High,"37,294","6,167", 29.7, 89.2, 98.2, 98.6, 93.3, 83.2, 55.3,"5,420",1312
University of Pennsylvania,United States,#16,Private,Very High,"21,454","5,120", 65.3, 88.6, 96.1, 91.5, 100, 63.8, 88.7,"5,011",1770
Yale University,United States,#17,Private,Very High,"13,482","5,326", 54.5, 88, 99.9, 100, 100, 52.8, 85.3,"2,788",1825
Cornell University,United States,#18,Private,Very High,"23,449","2,835", 70, 87.6, 98.5, 90.9, 63.7, 88.6, 93.7,"5,771",1070
Columbia University,United States,#19,Private,Very High,"27,740","7,011", 96.3, 86.5, 99.7, 97.3, 100, 48.5, 37.2,"10,190",1135
The University of Edinburgh,United Kingdom,#20,Public,Very High,"31,395","4,535", 99, 85.8, 98, 95.4, 83.1, 50.2, 98.2,"13,056",1976
University of Michigan-Ann Arbor,United States,#21,Public,Very High,"46,329","7,216", 41.3, 84.6, 98.9, 92.7, 89.4, 58, 74.8,"8,105",2003
The University of Hong Kong,Hong Kong S.A.R.,#22,Public,Very High,"20,113","2,927", 98.9, 83.7, 98.1, 76.3, 83.8, 48, 100,"8,301",2025
Peking University,China Mainland,#23,Public,Very High,"38,854","5,252", 34.3, 83.5, 99.2, 99.1, 76.4, 64.9, 69.7,"6,120",1363
The University of Tokyo,Japan,#24,Public,Very High,"27,559","4,479", 26.1, 83.2, 100, 99.6, 92.3, 62.5, 10.7,"3,725",295
Johns Hopkins University,United States,#=25,Private,Very High,"15,130","4,768", 87.7, 82.7, 86.7, 47, 100, 75.9, 66.3,"4,832",1185
University of Toronto,Canada,#=25,Public,Very High,"76,065","9,568", 94.1, 82.7, 99.3, 96.8, 70.3, 45.8, 97.9,"25,845",4113
The Hong Kong University of Science and Technology,Hong Kong S.A.R.,#=27,Public,Very High,"9,447","1,172", 88.9, 82.1, 85.2, 63.6, 66.7, 92.1, 100,"2,959",872
The University of Manchester,United Kingdom,#=27,Public,Very High,"37,089","4,850", 98.8, 82.1, 95.3, 97.4, 72.7, 48.4, 92.9,"15,209",1797
Northwestern University,United States,#29,Private,Very High,"19,123","4,717", 45.3, 81.5, 85.1, 74.4, 99.7, 72.3, 57.9,"3,530",1271
"University of California, Berkeley (UCB)",United States,#30,Public,Very High,"40,443","3,089", 39.7, 80.8, 100, 99.9, 21.3, 96.9, 94.9,"6,914",1205
The Australian National University,Australia,#=31,Public,Very High,"18,394","1,795", 99.6, 80, 95.6, 77.6, 40.1, 77.8, 100,"8,240",1040
King's College London,United Kingdom,#=31,Public,Very High,"28,458","4,111", 99.9, 80, 88.9, 81.1, 83.1, 46.4, 98.4,"13,779",1818
McGill University,Canada,#=31,Public,Very High,"29,774","3,718", 96.3, 80, 92.3, 94.1, 67.5, 51.8, 90.5,"10,915",1311
Fudan University,China Mainland,#34,Public,Very High,"28,454","4,526", 46.3, 79.9, 84.7, 92.5, 90.9, 55.7, 93.1,"5,322",1683
New York University (NYU),United States,#35,Private,Very High,"44,993","8,028", 93, 79.4, 95.8, 96.5, 96.7, 25.8, 37.3,"15,189",1303
"University of California, Los Angeles (UCLA)",United States,#36,Public,Very High,"44,128","4,390", 32.6, 79.2, 100, 99.7, 42, 81.9, 47.3,"6,751",841
Seoul National University,South Korea,#37,Public,Very High,"28,197","4,305", 11.6, 79, 97.9, 95.9, 87.9, 53.7, 18.6,"2,370",432
Kyoto University,Japan,#38,Public,Very High,"22,687","3,878", 19.8, 78.9, 98.6, 96.9, 95, 42.6, 16,"2,628",349
KAIST - Korea Advanced Institute of Science & Technology,South Korea,#39,Public,Very High,"9,849","1,257", 9.7, 78.6, 86.8, 82.2, 70, 97.4, 24.7,738,154
The University of Sydney,Australia,#40,Public,Very High,"47,675","3,648", 100, 77.1, 97.4, 95.3, 21.4, 69.6, 100,"27,688",2109
The University of Melbourne,Australia,#41,Public,Very High,"48,078","3,506", 100, 76.5, 99.1, 97.3, 18.8, 65.4, 97.4,"23,848",1479
Duke University,United States,#42,Private,Very High,"15,919","5,457", 58, 76.4, 88.2, 85.3, 100, 44.7, 5.9,"3,428",0
The Chinese University of Hong Kong (CUHK),Hong Kong S.A.R.,#43,Public,Very High,"18,499","2,152", 91.5, 75.8, 90.3, 53.1, 59.2, 62.6, 100,"6,062",1107
The University of New South Wales (UNSW Sydney),Australia,#44,Public,Very High,"45,222","3,156", 99.2, 75.4, 91.1, 94.9, 16.7, 78.4, 100,"19,577",1766
University of British Columbia,Canada,#45,Public,Very High,"56,552","6,301", 78.8, 74.8, 97.1, 89.6, 53.1, 37.4, 89.5,"15,417",2179
The University of Queensland,Australia,#46,Public,Very High,"42,198","3,361", 99.9, 74.5, 89, 78.2, 23.8, 79.6, 100,"22,242",2029
Shanghai Jiao Tong University,China Mainland,#47,Public,Very High,"37,811","4,446", 30.2, 74.4, 82.5, 90.9, 60.4, 75.4, 64,"6,158",738
City University of Hong Kong,Hong Kong S.A.R.,#48,Public,Very High,"9,587","1,483", 99, 74.3, 61.5, 32.8, 88.9, 91.2, 100,"4,799",1177
The London School of Economics and Political Science (LSE),United Kingdom,#49,Public,Very High,"10,972","1,187", 100, 73.9, 75.8, 99.6, 41.9, 74, 100,"7,937",760
Technical University of Munich,Germany,#50,Public,Very High,"40,665","6,360", 84.7, 73.6, 83.8, 98.5, 89.7, 22.4, 63.4,"12,673",1522
Carnegie Mellon University,United States,#51,Private,Very High,"13,412","1,513", 99.4, 73.4, 73.3, 72.4, 51, 89.8, 65.3,"5,577",277
Zhejiang University,China Mainland,#53,Public,Very High,"32,769","6,117", 74.2, 71.9, 69.3, 91.1, 90, 40, 98.1,"9,177",2845
"University of California, San Diego (UCSD)",United States,#54,Public,Very High,"37,020","4,385", 64.3, 71.2, 91.9, 50.4, 61.3, 52.7, 59.9,"8,552",1003
Monash University,Australia,#55,Public,Very High,"58,823","3,855", 100, 70.9, 90, 88.7, 14.1, 64.2, 100,"33,604",2195
Tokyo Institute of Technology (Tokyo Tech),Japan,#56,Public,Very High,"9,835","1,426", 28, 70.8, 73.3, 90.4, 83.4, 62.6, 27.6,"1,384",188
Delft University of Technology,Netherlands,#57,Public,Very High,"18,896","1,915", 85.6, 70.7, 70.7, 87.9, 43.9, 75.8, 99.8,"5,625",932
University of Bristol,United Kingdom,#58,Public,Very High,"24,268","3,120", 80.6, 70.6, 75.5, 82.9, 70.8, 44.8, 91.5,"6,759",1122
Universiti Malaya (UM),Malaysia,#59,Public,Very High,"17,390","2,485", 44.5, 70.1, 74.1, 84.6, 82.1, 47.7, 68.7,"3,179",637
Brown University,United States,#60,Private,Very High,"9,806","1,401", 53.4, 70, 60.2, 58.1, 82, 82.3, 82.9,"2,002",435
Ecole Polytechnique,France,#=61,Public,Very High,"2,850",633, 99, 69.9, 41.8, 98.7, 99.8, 65.8, 95.8,"1,248",253
University of Amsterdam,Netherlands,#=61,Public,Very High,"18,234","2,790", 61.6, 69.9, 82.3, 55.6, 35.4, 83.3, 84.5,"5,943",890
The University of Warwick,United Kingdom,#62,Public,Very High,"23,436","2,464", 99.2, 69, 74.3, 92, 47.8, 51.4, 98.1,"9,977",1072
Ludwig-Maximilians-Universität München,Germany,#63,Public,Very High,"35,858","3,818", 36.2, 68.9, 92.9, 80.7, 49.1, 43.9, 57.6,"5,816",846
Ruprecht-Karls-Universität Heidelberg,Germany,#64,Public,Very High,"19,530","4,122", 49.5, 68.6, 80.6, 41.8, 99.1, 34.2, 52.3,"3,803",849
University of Wisconsin-Madison,United States,#65,Public,Very High,"39,781","5,010", 27.6, 68.2, 85.6, 49.5, 72.7, 54.9, 34.7,"5,547",497
National Taiwan University (NTU),Taiwan,#=66,Public,Very High,"29,915","2,876", 38.7, 67.5, 91.8, 87.5, 38.7, 54.8, 19.1,"5,058",294
Korea University,South Korea,#=69,Private,Very High,"25,450","3,750", 53.3, 67.1, 75.2, 91.7, 84.9, 35.4, 15,"5,188",322
University of Zurich,Switzerland,#=69,Public,Very High,"21,986","3,559", 59.8, 67.1, 59.7, 60.6, 98, 45.9, 100,"4,829",1935
University of Texas at Austin,United States,#71,Public,Very High,"49,345","3,081", 16.2, 66.7, 94, 83.4, 12.4, 84, 6.5,"5,089",132
Osaka University,Japan,#=72,Public,Very High,"22,510","3,116", 14, 66.1, 80.1, 79.6, 78.9, 41.3, 20.3,"2,123",333
University of Washington,United States,#=72,Public,Very High,"43,156","2,796", 39.5, 66.1, 85.9, 49, 13.7, 98.8, 39.7,"7,362",427
Lomonosov Moscow State University,Russia,#74,Public,Very High,"30,152","6,575", 76.8, 65.9, 77.3, 82.8, 99.8, 7.4, 20.1,"10,239",698
The Hong Kong Polytechnic University,Hong Kong S.A.R.,#75,Public,Very High,"19,994","2,745", 80.2, 65.8, 66.3, 40.8, 78, 51, 100,"5,543",1511
University of Copenhagen,Denmark,#76,Public,Very High,"30,326","7,293", 26.5, 65.5, 72.8, 38.7, 100, 31.2, 91.8,"4,135",2637
Pohang University of Science And Technology (POSTECH),South Korea,#=77,Private,Very High,"3,087",705, 3, 64.6, 43, 54.6, 99.9, 98.7, 33.8,85,107
University of Glasgow,United Kingdom,#=77,Public,Very High,"27,436","3,225", 97.1, 64.6, 73, 66.8, 60.4, 33.5, 93.8,"10,351",1220
Tohoku University,Japan,#79,Public,Very High,"17,718","3,324", 16.9, 64.3, 69.3, 72.4, 98.1, 39.6, 11.8,"1,872",237
Georgia Institute of Technology,United States,#80,Public,Very High,"24,422","1,267", 64.8, 64.1, 68.8, 76.4, 9.2, 99.9, 71,"5,675",366
University of Illinois at Urbana-Champaign,United States,#82,Public,Very High,"44,860","2,653", 60.4, 63.4, 87.4, 52.1, 10.8, 83.7, 18.8,"9,926",268
KU Leuven,Belgium,#84,Public,Very High,"46,615","2,615", 36.1, 63, 83.4, 55.5, 9.4, 77.5, 90.7,"7,548",925
Yonsei University,South Korea,#85,Private,Very High,"24,777","3,660", 45.3, 62.5, 68.3, 87.7, 85.1, 31, 12.1,"5,046",266
Durham University,United Kingdom,#86,Public,Very High,"18,021","1,629", 88.7, 62.2, 58, 90.2, 33.1, 68.3, 97.9,"5,626",702
University of Birmingham,United Kingdom,#87,Public,Very High,"29,931","3,286", 87.9, 62, 64.4, 72.6, 52.5, 45.4, 93.4,"9,218",1232
Sungkyunkwan University(SKKU),South Korea,#88,Private,Very High,"22,482","3,313", 39.3, 61.5, 60.2, 75.6, 84.9, 47.7, 20.1,"3,821",351
Rice University,United States,#89,Private,Very High,"7,018",990, 92, 61.4, 39.6, 25.3, 80.8, 87.5, 88.8,"2,320",338
University of Southampton,United Kingdom,#90,Public,Very High,"21,784","2,705", 93.5, 61.3, 50.9, 52.9, 66.8, 61.7, 97.6,"7,429",1149
University of Leeds,United Kingdom,#91,Public,Very High,"32,738","3,385", 81.3, 61.2, 70.6, 78.1, 46, 36.7, 84.7,"9,207",1080
The University of Western Australia,Australia,#92,Public,Very High,"18,356","1,344", 99.6, 61, 61.1, 52.7, 19, 85.7, 100,"8,866",823
The University of Sheffield,United Kingdom,#=93,Public,Very High,"27,687","3,306", 96, 60.8, 61.4, 58.6, 62.2, 42.8, 85.3,"10,082",1065
University of Science and Technology of China,China Mainland,#=93,Public,Very High,"16,718","2,289", 6.1, 60.8, 53.9, 19.9, 77.7, 99.2, 24.1,896,293
"University of North Carolina, Chapel Hill",United States,#95,Public,Very High,"33,126","4,854", 10.5, 60.6, 68.1, 49.7, 84.4, 44.8, 32.6,"2,605",718
University of St Andrews,United Kingdom,#96,Public,Very High,"9,534","1,192", 99.8, 60.3, 46, 61.1, 67.6, 60.2, 98.4,"4,383",525
Lund University,Sweden,#97,Public,Very High,"27,443","3,040", 69, 60.2, 70, 50.9, 53.6, 39.9, 92.3,"6,682",1111
KTH Royal Institute of Technology,Sweden,#98,Public,Very High,"13,290","1,622", 57.4, 59.5, 46.2, 63.6, 64.8, 68, 98.3,"2,858",713
University of Nottingham,United Kingdom,#99,Public,Very High,"31,676","3,329", 83.5, 59, 60, 71.6, 47.7, 46.4, 90.8,"9,165",1181
Pennsylvania State University,United States,#=101,Public,Very High,"45,885","3,984", 36.9, 58.4, 74.9, 75.3, 29.9, 59.7, 15.9,"7,531",357
"Trinity College Dublin, The University of Dublin",Ireland,#=101,Public,Very High,"15,618","1,399", 93.7, 58.4, 66.6, 49.7, 32.4, 51.3, 99.6,"5,346",672
Technical University of Denmark,Denmark,#103,Public,Very High,"9,411","2,184", 78.6, 57.9, 31.3, 29.7, 99.9, 66, 99.9,"2,558",1078
University of Helsinki,Finland,#104,Public,Very High,"22,137","2,750", 5.7, 57.6, 65.3, 45.9, 67.5, 48.4, 61.4,"1,123",641
Washington University in St. Louis,United States,#105,Private,Very High,"14,301","3,117", 61.8, 56.9, 43.3, 15.5, 99.8, 53.3, 80,"3,212",928
University of Geneva,Switzerland,#=106,Public,Very High,"17,744","1,814", 97.4, 56.8, 50.9, 23.4, 48.5, 71.2, 100,"6,547",1083
The Ohio State University,United States,#108,Public,Very High,"55,085","6,323", 23.5, 56.4, 63.5, 63.2, 57.6, 37.8, 81.3,"7,029",1918
Purdue University,United States,#109,Public,Very High,"40,335","2,622", 51.4, 55.9, 63.6, 69.4, 19.2, 62.7, 83.9,"8,034",484
Boston University,United States,#=110,Private,Very High,"26,440","2,642", 88, 55.8, 62, 53.4, 42.4, 54.3, 30.9,"8,159",377
Nagoya University,Japan,#=110,Public,Very High,"15,750","2,473", 20.4, 55.8, 58.7, 52.3, 90, 35, 14.8,"1,855",210
"University of California, Davis",United States,#112,Public,Very High,"37,705","3,420", 68.4, 55.3, 68.7, 33.9, 28.7, 56.1, 75.1,"8,842",1032
University of Oslo,Norway,#113,Public,Very High,"17,598","2,515", 26.7, 55.2, 54.5, 15.7, 82.1, 46.8, 88.3,"2,411",851
University of Bern,Switzerland,#=114,Public,Very High,"9,493","1,221", 42.7, 54.9, 30.2, 38.7, 70.9, 86.7, 100,"1,692",681
Wageningen University & Research,Netherlands,#=115,Public,Very High,"14,361","2,581", 79.8, 54.8, 40, 22.2, 96.9, 53.1, 45.5,"3,960",481
Humboldt-Universität zu Berlin,Germany,#117,Public,High,"33,681","1,935", 31.1, 54.5, 89.8, 57.5, 10, 32.2, 50,"5,020",386
Université de Montréal,Canada,#118,Public,Very High,"39,891","5,292", 59.7, 54.3, 55.1, 53.6, 66.8, 29.1, 88.8,"8,351",1808
University of Alberta,Canada,#119,Public,Very High,"33,547","3,617", 79.9, 54, 54.6, 37.7, 50.5, 47.2, 91.2,"9,272",1292
Eindhoven University of Technology,Netherlands,#120,Public,Very High,"10,190","1,145", 44.9, 53.9, 30.4, 78.1, 55.2, 76.6, 99.7,"1,872",606
University of Southern California,United States,#=121,Private,Very High,"32,586","3,213", 84.3, 53.8, 58.1, 55.1, 34.1, 60.5, 32,"11,101",546
Utrecht University,Netherlands,#=121,Public,Very High,"33,748","3,254", 25, 53.8, 66, 34, 38.9, 58.3, 59.9,"4,454",744
Kyushu University,Japan,#=124,Public,Very High,"18,619","2,801", 20.4, 53.7, 54.6, 62.5, 86.7, 31.2, 14.4,"2,194",233
Nanjing University,China Mainland,#=124,Public,Very High,"34,058","2,883", 9.5, 53.7, 59.7, 23.4, 28, 87.6, 71.4,"2,513",765
Uppsala University,Sweden,#=124,Public,Very High,"26,521","2,659", 35.3, 53.7, 66.3, 27.7, 42.8, 52.5, 66.3,"4,246",661
Aalto University,Finland,#127,Public,Very High,"12,423","1,376", 35.4, 53.6, 43.4, 43, 53.6, 72.5, 93.2,"1,992",515
Leiden University,Netherlands,#=128,Public,Very High,"31,702","2,604", 48.1, 53.4, 69.2, 32.2, 25.8, 52.6, 82.2,"6,064",801
University of Groningen,Netherlands,#=128,Public,Very High,"30,461","3,648", 86.5, 53.4, 50.6, 28.1, 62.6, 43.2, 92,"8,731",1326
Freie Universitaet Berlin,Germany,#130,Public,High,"35,141","1,400", 46.6, 53.2, 80.9, 48.4, 4.2, 46.7, 63.6,"6,599",336
"KIT, Karlsruhe Institute of Technology",Germany,#131,Public,Very High,"23,938","2,010", 60.5, 52.9, 46.2, 85, 27.4, 70.3, 60.1,"5,301",460
Universiti Putra Malaysia (UPM),Malaysia,#132,Public,Very High,"16,415","2,214", 86.5, 52.7, 50.5, 52.8, 76.1, 22.3, 58.1,"4,952",494
University of Technology Sydney,Australia,#=133,Public,Very High,"24,103","1,314", 94.9, 52.6, 45.3, 78.8, 8.8, 74.4, 98.1,"8,489",570
Lancaster University,United Kingdom,#=135,Public,Very High,"13,598","1,401", 95.4, 52.5, 40.6, 31, 45.6, 71.3, 93.7,"4,863",529
Ghent University,Belgium,#=135,Public,Very High,"36,926","5,331", 19.1, 52.5, 53.7, 23.5, 83, 37.1, 68.4,"4,184",1361
Politecnico di Milano,Italy,#137,Public,Very High,"37,080","1,646", 49.6, 52.4, 67, 82.6, 5.3, 55.9, 46.4,"7,230",311
CentraleSupélec,France,#138,Public,Very High,"3,559",552, 86.1, 52.3, 15.6, 99.9, 89.1, 51.9, 65.6,"1,068",136
Chalmers University of Technology,Sweden,#=139,Private,Very High,"9,658","1,214", 60.3, 52.2, 28.3, 58.6, 68.2, 65.6, 98.8,"2,134",589
Hokkaido University,Japan,#=139,Public,Very High,"17,809","2,493", 16.2, 52.2, 54, 60, 80, 32.7, 17.9,"1,832",243
Universiti Kebangsaan Malaysia (UKM),Malaysia,#141,Public,Very High,"17,555","2,906", 40.8, 52, 53.8, 55.7, 93.3, 11.9, 31.2,"3,051",427
Universiti Sains Malaysia (USM),Malaysia,#142,Public,Very High,"17,295","2,333", 49.9, 51.9, 56, 60.5, 76.2, 17.6, 37.6,"3,385",381
King Abdulaziz University (KAU),Saudi Arabia,#143,Public,Very High,"32,044","4,056", 57, 51.7, 36.3, 52.4, 69, 50.2, 99,"6,821",1858
McMaster University,Canada,#144,Public,Very High,"25,008","3,551", 48.1, 51.5, 40.7, 47.6, 81.4, 32.4, 99.3,"4,783",1749
RWTH Aachen University,Germany,#145,Public,Very High,"45,884","1,964", 70.3, 51.4, 51.9, 95.8, 7.4, 68.1, 43.7,"11,327",356
Hanyang University,South Korea,#146,Private,Very High,"22,851","3,109", 31.9, 51.3, 46.5, 78.3, 77.1, 31.9, 23.1,"3,455",363
Aarhus University,Denmark,#147,Public,Very High,"28,072","2,522", 17, 51, 54.6, 40.9, 32.6, 65.6, 84.9,"2,979",807
Technische Universität Berlin (TU Berlin),Germany,#148,Public,Very High,"22,600","2,431", 74.4, 50.8, 54.1, 75, 50.3, 28.2, 38.2,"5,848",401
University of Basel,Switzerland,#149,Public,Very High,"9,441","1,041", 87.1, 50.6, 28.4, 28.5, 45.3, 88.3, 100,"2,875",675
University of Vienna,Austria,#=150,Public,Very High,"45,285","3,637", 90.3, 50.3, 69.2, 42.7, 24.3, 18.7, 98.1,"14,514",1584
University of York,United Kingdom,#=150,Public,Very High,"18,157","2,098", 69.9, 50.3, 42.6, 41.4, 58.4, 45.7, 89.5,"4,465",726
Newcastle University,United Kingdom,#=152,Public,Very High,"26,047","2,530", 81.2, 50.2, 43.7, 76.8, 39.6, 41.8, 87.6,"7,312",846
"University of California, Santa Barbara (UCSB)",United States,#=152,Public,Very High,"25,536","1,543", 29.4, 50.2, 60, 19.3, 11.4, 87.1, 55.3,"3,686",319
"University of Maryland, College Park",United States,#=152,Public,Very High,"37,339","4,002", 22.5, 50.2, 53.1, 31.5, 49.9, 65, 27.5,"4,644",527
University of Pittsburgh,United States,#156,Public,Very High,"26,546","4,741", 19.4, 49.7, 43.9, 19.6, 96.7, 45.6, 8.6,"3,032",260
Michigan State University,United States,#157,Public,Very High,"45,021","3,043", 26.9, 49.6, 61.5, 65.6, 15.4, 52.9, 62,"6,179",715
Emory University,United States,#158,Private,Very High,"13,421","2,533", 41.1, 49.1, 25.8, 14.5, 98.5, 63.9, 50.1,"2,342",506
Cardiff University,United Kingdom,#159,Public,Very High,"27,512","2,899", 77, 48.5, 47.4, 39.4, 48, 38.9, 81.7,"7,409",885
Alma Mater Studiorum - University of Bologna,Italy,#160,Public,Very High,"66,722","2,806", 11.9, 48.2, 79.6, 46.4, 4.7, 46.3, 12.1,"5,706",204
École Normale Supérieure de Lyon,France,#161,Public,Very High,"2,180",357, 18.9, 48.1, 33.3, 10.1, 94.6, 54.7, 53.7,237,75
Case Western Reserve University,United States,#=162,Private,Very High,"11,014","1,652", 74.5, 47.4, 19.7, 18.7, 86.5, 67.8, 55.3,"2,853",355
University of Florida,United States,#=162,Public,Very High,"46,102","6,168", 12.9, 47.4, 49.7, 51.9, 75.3, 26.8, 20.6,"4,143",664
The University of Exeter,United Kingdom,#164,Public,Very High,"23,495","2,352", 79.4, 47.2, 39.7, 60.3, 42.6, 40.2, 90.6,"6,449",831
University of Rochester,United States,#=165,Private,Very High,"10,018","2,334", 92.9, 46.9, 25.5, 11.3, 99.9, 37.4, 63.5,"3,375",559
Al-Farabi Kazakh National University,Kazakhstan,#165,Public,High,"22,021","4,156", 30.7, 46.9, 42, 63.1, 98.2, 1.4, 42,"3,262",732
University of Waterloo,Canada,#=166,Public,Very High,"33,545","1,826", 83.4, 46.8, 39.6, 77.5, 7.9, 67, 76.4,"9,693",517
National Tsing Hua University,Taiwan,#168,Public,Very High,"13,213","1,217", 18, 46.4, 49.5, 58.1, 34.8, 58.3, 19.4,"1,448",126
Texas A&M University,United States,#=169,Public,Very High,"63,237","3,066", 19.1, 46.2, 60.7, 59.9, 8.1, 59.2, 25.2,"2,445",380
University of Lausanne,Switzerland,#=169,Public,Very High,"12,979","1,478", 62, 46.2, 35.1, 21.5, 56.7, 51.7, 99.5,"2,922",704
Sapienza University of Rome,Italy,#171,Public,Very High,"74,483","3,237", 10.5, 46.1, 78.4, 33.8, 5.1, 46.3, 4.8,"5,860",103
Indian Institute of Technology Bombay (IITB),India,#172,Public,Very High,"10,401",974, 1.6, 46, 50.4, 74.2, 36.2, 53.1, 3.9,99,25
Technische Universität Dresden,Germany,#=173,Public,Very High,"31,795","4,608", 34.1, 45.9, 37.6, 61.1, 83.7, 21.5, 35.7,"4,967",726
University of Bath,United Kingdom,#=173,Public,Very High,"16,340","1,321", 90.4, 45.9, 36.1, 67.7, 24.8, 50, 98.1,"5,244",574
Eberhard Karls Universität Tübingen,Germany,#=175,Public,Very High,"27,348","4,265", 26, 45.8, 45.6, 22.6, 89.5, 17.8, 45.8,"3,692",1001
Albert-Ludwigs-Universitaet Freiburg,Germany,#=175,Public,Very High,"21,413","1,993", 43.9, 45.8, 52, 18.7, 35.7, 51.8, 62.4,"3,883",471
The Hebrew University of Jerusalem,Israel,#=177,Public,Very High,"16,160","2,257", 9.9, 45.7, 37.4, 29.5, 79.8, 39.2, 65.4,"1,230",554
University of Minnesota Twin Cities,United States,#=177,Public,Very High,"57,211","5,097", 15, 45.7, 64.3, 26.2, 31.9, 48.1, 7.1,"5,627",238
Stockholm University,Sweden,#=181,Public,Very High,"27,085","2,325", 41.5, 45.5, 55.1, 15.6, 29, 46.9, 87.5,"9,187",793
University of Liverpool,United Kingdom,#=181,Public,Very High,"25,307","2,682", 93.8, 45.5, 42.9, 31, 48.6, 30.9, 86.7,"8,695",884
Universitat de Barcelona,Spain,#183,Public,Very High,"45,494","3,183", 32.1, 45.4, 70.2, 38.1, 20.9, 35.5, 6.6,"6,903",138
University of Otago,New Zealand,#184,Public,Very High,"18,916","1,345", 59, 45.3, 53, 36.5, 17.6, 43.5, 100,"4,118",807
Indian Institute of Science,India,#185,Public,Very High,"4,038",434, 1.6, 44.9, 31.8, 18.3, 49.8, 100, 1.4,37,2
King Fahd University of Petroleum & Minerals,Saudi Arabia,#186,Public,Very High,"7,294","1,028", 18.1, 44.7, 27.7, 21.1, 80.7, 46.1, 100,801,748
Universiti Teknologi Malaysia,Malaysia,#=187,Public,Very High,"17,739","2,158", 63.9, 44.2, 39.4, 51.6, 64.4, 27.8, 27.6,"4,258",285
Vanderbilt University,United States,#=187,Private,Very High,"12,139","3,940", 31.5, 44.2, 26.9, 24.7, 100, 39.7, 23.5,"1,823",466
Université catholique de Louvain (UCLouvain),Belgium,#=189,Private,Very High,"24,613","1,269", 39.9, 44.1, 50.2, 37.2, 7.6, 60.9, 87.2,"4,220",422
Waseda University,Japan,#=189,Private,Very High,"44,078","3,864", 36.7, 44.1, 58.6, 93.6, 30.6, 7.6, 31,"7,209",553
Vienna University of Technology,Austria,#=191,Public,Very High,"10,345",737, 86, 44, 32.3, 52.7, 10.2, 77.5, 75.2,"3,099",206
Indian Institute of Technology Delhi (IITD),India,#193,Public,Very High,"8,058",778, 1.5, 43.9, 44.3, 64.5, 28.4, 67.8, 2.3,62,10
University of Bergen,Norway,#194,Public,Very High,"11,919","1,634", 8.8, 43.4, 33.6, 8.2, 77.9, 42.4, 87.3,832,544
University of Göttingen,Germany,#195,Public,Very High,"30,894","3,794", 25, 43.3, 49, 17.9, 65.5, 24.3, 49.9,"4,082",755
University of Wollongong,Australia,#196,Public,Very High,"19,103","1,404", 86, 43.2, 31.3, 34.5, 19.2, 71, 91.8,"5,721",508
Erasmus University Rotterdam,Netherlands,#=197,Public,Very High,"27,571","2,471", 59, 43.1, 34, 63.7, 32.4, 46.7, 82.2,"6,003",791
"The University of Newcastle, Australia (UON)",Australia,#=197,Public,Very High,"12,338","1,106", 44.6, 43.1, 33.5, 27.9, 32.4, 64.7, 99.9,"2,121",545
University of Twente,Netherlands,#=197,Public,Very High,"11,273","1,062", 86.5, 43.1, 20.8, 40.4, 36.8, 69.8, 96.1,"3,402",428
